DATE,A792RC0Q052SBEA
1999-01-01,28562.500000000000
2000-01-01,30527.750000000000
2001-01-01,31530.000000000000
2002-01-01,31775.500000000000
2003-01-01,32624.250000000000
2004-01-01,34151.500000000000
2005-01-01,35628.000000000000
2006-01-01,37821.250000000000
2007-01-01,39549.000000000000
2008-01-01,40801.250000000000
2009-01-01,39271.250000000000
2010-01-01,40525.000000000000
2011-01-01,42618.250000000000
2012-01-01,44220.750000000000
2013-01-01,44366.500000000000
2014-01-01,46256.750000000000
2015-01-01,48037.500000000000
2016-01-01,48943.000000000000
2017-01-01,50977.250000000000
2018-01-01,53309.500000000000
